"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
군산 비안도(bgbi5),"2020-07-01 00:00",19.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 01:00",20,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 02:00",20.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 03:00",19.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 05:00",20.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 06:00",20.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 07:00",20.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 08:00",20.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 09:00",20.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 10:00",20.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 11:00",20.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 12:00",20.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 13:00",21.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 14:00",21.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 15:00",21.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 16:00",21.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 17:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 18:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 19:00",20.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 20:00",20.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 21:00",20.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 22:00",20.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-01 23:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 00:00",21,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 01:00",20.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 02:00",20.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 05:00",20.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 06:00",20.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 07:00",20.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 08:00",20.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 09:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 10:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 11:00",21.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 12:00",22.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 13:00",23.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 14:00",23.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 15:00",22.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 16:00",22.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 17:00",22.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 19:00",22.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 20:00",21.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 21:00",21.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 22:00",21.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-02 23:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 00:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 01:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 02:00",21.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 03:00",21.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 04:00",21,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 05:00",21.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 06:00",21.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 07:00",21.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 08:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 09:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 10:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 11:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 13:00",21.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 14:00",21.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 15:00",21.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 16:00",21.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 18:00",21.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 20:00",21.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 22:00",21,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-03 23:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 00:00",21.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 01:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 02:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 03:00",21.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 04:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 05:00",21.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 06:00",21.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 07:00",21.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 08:00",20.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-07-04 09:00",20.5,,,1,,,,,,,,
