"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
군산 비안도(bgbi5),"2020-09-01 00:00",24.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 01:00",25.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 02:00",25.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 03:00",25.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 04:00",25.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 05:00",25.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 06:00",24.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 07:00",25.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 08:00",25.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 09:00",25.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 10:00",25.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 11:00",25.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 12:00",25.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 13:00",26,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 14:00",25.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 15:00",26.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 16:00",26.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 17:00",26.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 18:00",26.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 19:00",26.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 20:00",25.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 21:00",25,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-01 23:00",24.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-02 02:00",24.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-09-02 03:00",24.9,,,1,,,,,,,,
