"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
군산 비안도(bgbi5),"2020-02-01 00:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 01:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 02:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 03:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 04:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 05:00",7.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 06:00",7.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 07:00",7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 08:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 09:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 10:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 11:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 12:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 13:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 14:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 15:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 16:00",7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 17:00",7.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 18:00",7.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 19:00",7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 20:00",7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 21:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 22:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-01 23:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 00:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 01:00",6.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 02:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 03:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 04:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 05:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 06:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 07:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 08:00",7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 09:00",6.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 10:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 11:00",6.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 13:00",7.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 14:00",7.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 15:00",7.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 16:00",7.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 17:00",7.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 18:00",7.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 19:00",7.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 20:00",7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-02-02 21:00",6.9,,,1,,,,,,,,
