"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
군산 비안도(bgbi5),"2020-12-01 00:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 01:00",12.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 02:00",12.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 03:00",12.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 04:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 05:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 06:00",11.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 08:00",11.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 09:00",11.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 10:00",11.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 11:00",11.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 13:00",12.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 14:00",12.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 15:00",12.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 16:00",12,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 17:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 18:00",12,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 21:00",11.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 22:00",11.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-01 23:00",11.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 00:00",12.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 01:00",12.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 02:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 03:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 04:00",12.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 06:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 09:00",11.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 10:00",11.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 11:00",12.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 12:00",12.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-12-02 13:00",12.4,,,1,,,,,,,,
