"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
군산 비안도(bgbi5),"2020-05-01 00:00",13,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 01:00",13,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 02:00",13,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 03:00",13,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 04:00",12.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 05:00",12.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 06:00",12.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 07:00",12.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 08:00",12.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 09:00",12.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 10:00",12.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 11:00",13,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 12:00",13.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 13:00",13.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 14:00",13.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 15:00",13.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 16:00",13.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 17:00",13.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 18:00",13.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 19:00",13.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 20:00",13.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 21:00",13.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 22:00",13.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-01 23:00",13.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 00:00",13.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 01:00",13.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 02:00",13.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 04:00",13.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 05:00",13.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 06:00",13.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 07:00",13.2,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 08:00",13.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 09:00",13.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 10:00",13.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 11:00",13.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 12:00",13.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 13:00",13.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 14:00",14,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 18:00",14,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 19:00",13.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 20:00",14,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 21:00",14,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-02 22:00",13.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 00:00",13.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 01:00",13.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 02:00",13.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 04:00",13.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 05:00",13.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 07:00",13.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-05-03 08:00",13.7,,,1,,,,,,,,
